MinMAP,MaxMAP,MinTemp,MaxTemp,MinDI,MaxDI,DF
0,19,68,70,800,9999,0
0,19,65,67,0,49,2
0,19,65,67,50,99,2
0,19,65,67,100,149,2
0,19,65,67,150,199,2
0,19,65,67,200,249,1
0,19,65,67,250,299,1
0,19,65,67,300,349,1
0,19,65,67,350,399,1
0,19,65,67,400,449,1
0,19,65,67,450,499,1
0,19,65,67,500,549,1
0,19,65,67,550,639,1
0,19,65,67,640,699,1
0,19,65,67,700,759,0
0,19,65,67,760,799,0
0,19,65,67,800,9999,0
0,19,62,64,0,49,1
0,19,62,64,50,99,1
0,19,62,64,100,149,1
0,19,62,64,150,199,1
0,19,62,64,200,249,1
0,19,62,64,250,299,1
0,19,62,64,300,349,1
0,19,62,64,350,399,1
0,19,62,64,400,449,1
0,19,62,64,450,499,1
0,19,62,64,500,549,1
0,19,62,64,550,639,1
0,19,62,64,640,699,0
0,19,62,64,700,759,0
0,19,62,64,760,799,0
0,19,62,64,800,9999,0
0,19,59,61,0,49,1
0,19,59,61,50,99,1
0,19,59,61,100,149,1
0,19,59,61,150,199,1
0,19,59,61,200,249,1
0,19,59,61,250,299,1
0,19,59,61,300,349,1
0,19,59,61,350,399,1
0,19,59,61,400,449,1
0,19,59,61,450,499,1
0,19,59,61,500,549,1
0,19,59,61,550,639,1
0,19,59,61,640,699,0
0,19,59,61,700,759,0
0,19,59,61,760,799,0
0,19,59,61,800,9999,0
0,19,56,58,0,49,1
0,19,56,58,50,99,1
0,19,56,58,100,149,1
0,19,56,58,150,199,1
0,19,56,58,200,249,1
0,19,56,58,250,299,1
0,19,56,58,300,349,1
0,19,56,58,350,399,1
0,19,56,58,400,449,1
0,19,56,58,450,499,1
0,19,56,58,500,549,0
0,19,56,58,550,639,0
0,19,56,58,640,699,0
0,19,56,58,700,759,0
0,19,56,58,760,799,0
0,19,56,58,800,9999,0
0,19,53,55,0,49,1
0,19,53,55,50,99,1
0,19,53,55,100,149,1
0,19,53,55,150,199,1
0,19,53,55,200,249,1
0,19,53,55,250,299,1
0,19,53,55,300,349,1
0,19,53,55,350,399,1
0,19,53,55,400,449,1
0,19,53,55,450,499,0
0,19,53,55,500,549,0
0,19,53,55,550,639,0
0,19,53,55,640,699,0
0,19,53,55,700,759,0
0,19,53,55,760,799,0
0,19,53,55,800,9999,0
0,19,50,52,0,49,1
0,19,50,52,50,99,1
0,19,50,52,100,149,1
0,19,50,52,150,199,1
0,19,50,52,200,249,1
0,19,50,52,250,299,1
0,19,50,52,300,349,0
0,19,50,52,350,399,0
0,19,50,52,400,449,0
0,19,50,52,450,499,0
0,19,50,52,500,549,0
0,19,50,52,550,639,0
0,19,50,52,640,699,0
0,19,50,52,700,759,0
0,19,50,52,760,799,0
0,19,50,52,800,9999,0
0,19,0,49,0,49,0
0,19,0,49,50,99,0
0,19,0,49,100,149,0
0,19,0,49,150,199,0
0,19,0,49,200,249,0
0,19,0,49,250,299,0
0,19,0,49,300,349,0
0,19,0,49,350,399,0
0,19,0,49,400,449,0
0,19,0,49,450,499,0
0,19,0,49,500,549,0
0,19,0,49,550,639,0
